time,h1,h2,h3,C.O.P,Tevwi,Tcdwi,operation_num,running_time
1550639315.0,405.18026537252,424.5103914711464,244.91984826248347,8.290707276939315,16.4,28.5,25.0,7086.0
1550639436.0,405.2805396528738,424.886791319646,245.94116048775717,8.126967962731964,16.4,29.2,25.0,7088.0
1550639556.0,405.53305171852685,424.8931640035144,246.96417244920195,8.190493780983077,16.4,29.9,25.0,7090.0
1550640421.0,405.20536871741166,424.8831007870885,246.086991461182,8.08621525553895,16.5,29.3,25.0,7100.0
1550640541.0,405.50808686187776,424.8894937453466,247.40358141401538,8.157535023049093,16.5,30.1,25.0,7102.0
1550640661.0,405.53305171852685,425.5423453802456,245.50368597646823,7.997751867084756,16.5,29.5,25.0,7104.0
1550641511.0,405.9382867237169,424.94580082567,247.69642510203414,8.325226580019896,16.6,30.4,25.0,7114.0
1550641631.0,404.95361248750834,425.47635311877104,243.46547252305515,7.868741454465124,16.6,28.2,25.0,7116.0
1550641752.0,404.79100640305717,425.3705561567256,242.01534813004898,7.90958306772445,16.6,27.0,25.0,7118.0
1550642611.0,405.07903577690087,425.32642262849856,242.44993293045144,8.032103304907103,16.6,27.3,25.0,7128.0
1550642732.0,404.86587595685614,425.05814863469277,241.291827972982,8.100824042625796,16.6,26.3,25.0,7130.0
1550642852.0,405.698093539957,424.53163573266073,243.7561800495413,8.598590314739255,16.6,27.5,25.0,7132.0
1550643712.0,405.6347037221278,424.48172368964964,242.73977140623435,8.643007361195723,16.7,26.7,25.0,7142.0
1550643832.0,405.3196038292645,424.6111826277567,243.9016067397104,8.367277700577352,16.6,27.7,25.0,7144.0
1550643952.0,405.2805396528738,424.8311898289306,245.50332825969159,8.172475593106265,16.6,28.7,25.0,7146.0
1550644832.0,405.2805396528738,424.79297785846916,245.3575233548852,8.195952479794673,16.6,28.6,25.0,7156.0
1550644953.0,405.772764268336,424.90415866862884,246.08706866815876,8.346788125267675,16.7,29.3,25.0,7158.0
1550645073.0,405.772764268336,425.0550499561168,247.25718121685276,8.220788013318073,16.7,30.0,25.0,7160.0
1550645872.0,405.2805396528738,425.00574272308563,246.08706866815876,8.070561829861365,16.7,29.4,25.0,7170.0
1550645992.0,405.6097507429185,424.9705425231447,247.1102130746044,8.18662477586248,16.7,30.1,25.0,7172.0
1550646113.0,405.50808686187776,425.72605147030976,245.35794419447154,7.921180285408902,16.7,29.4,25.0,7174.0
1550646962.0,405.761537542689,424.9881705539178,247.69661266648544,8.221144325368327,16.6,30.4,25.0,7184.0
1550647083.0,404.9661272334561,425.63566037551766,243.61074906062842,7.80643554277851,16.6,28.5,25.0,7186.0
1550647203.0,404.84074558470786,425.4672322835498,242.45001706581857,7.872922368694392,16.6,27.2,25.0,7188.0
1550649153.0,405.18026537252,424.42781127089785,241.4359824795266,8.507281071442678,16.6,26.5,25.0,7198.0
1550649273.0,405.36977565034965,424.51068745373675,243.75612565087863,8.443362137579722,16.6,27.7,25.0,7200.0
1550649393.0,404.9786719882973,424.9151296273,245.0657104991758,8.021132158216345,16.5,28.5,25.0,7202.0
1550650243.0,405.05397960712037,424.76649986289016,244.33793942703673,8.152993026502648,16.5,28.0,25.0,7212.0
1550650363.0,405.20536871741166,424.84844760724013,245.64910457359392,8.122772658945957,16.5,29.0,25.0,7214.0
1550650483.0,405.53305171852685,424.9601119758774,246.67186815698904,8.177314604325169,16.5,29.7,25.0,7216.0
1550651333.0,405.49480137194524,424.9672532298285,245.94108468326786,8.193817494230084,16.5,29.3,25.0,7226.0
